date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:09	377896/377896	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:09%20GMT	https://www.amazon.de/b/ref=br_pdt_mgLwt/253-8936271-2197550?_encoding=UTF8&node=7013565031&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=8fd50deb-8430-4ac0-89fe-b5ea36899997&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/b/ref=br_pdt_mgLwt/253-8936271-21975507127.html	(from https://www.amazon.de/)
14:13:10	192218/192218	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:10%20GMT	https://www.amazon.de/gp/prime/pipeline/landing?ie=UTF8&ref_=br_pdt_smr	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/pipeline/landing37a9.html	(from https://www.amazon.de/)
14:13:11	840243/840243	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:10%20GMT	https://www.amazon.de/s/ref=gw_in_av_ntlIg_ara-1/253-8936271-2197550?_encoding=UTF8&amp%3Bie=UTF8&amp%3Blo=clothing&rh=i%3Aclothing%2Cn%3A1981723031&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=0f1f63ff-0fa0-4196-a25d-13695b15360a&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/s/ref=gw_in_av_ntlIg_ara-1/253-8936271-2197550ebde.html	(from https://www.amazon.de/)
14:13:11	840295/840295	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:11%20GMT	https://www.amazon.de/s/ref=gw_in_av_vd/253-8936271-2197550?_encoding=UTF8&amp%3Bie=UTF8&amp%3Blo=clothing&rh=i%3Aclothing%2Cn%3A1981723031&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=0f1f63ff-0fa0-4196-a25d-13695b15360a&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/s/ref=gw_in_av_vd/253-8936271-2197550ebde.html	(from https://www.amazon.de/)
14:13:19	837311/837311	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:11%20GMT	https://www.amazon.de/s/ref=gw_in_av_ntlIg/253-8936271-2197550?_encoding=UTF8&amp%3Bie=UTF8&amp%3Blo=clothing&rh=i%3Aclothing%2Cn%3A1981723031&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=0f1f63ff-0fa0-4196-a25d-13695b15360a&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/s/ref=gw_in_av_ntlIg/253-8936271-2197550ebde.html	(from https://www.amazon.de/)
14:13:20	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:20%20GMT	https://www.amazon.de/gp/prime/ref=nav_tooltip_redirect/253-8936271-2197550	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/ref=nav_tooltip_redirect/253-8936271-2197550	(from https://www.amazon.de/)
14:13:20	840257/840257	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:11%20GMT	https://www.amazon.de/s/ref=gw_in_av_smr/253-8936271-2197550?_encoding=UTF8&amp%3Bie=UTF8&amp%3Blo=clothing&rh=i%3Aclothing%2Cn%3A1981723031&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=0f1f63ff-0fa0-4196-a25d-13695b15360a&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/s/ref=gw_in_av_smr/253-8936271-2197550ebde.html	(from https://www.amazon.de/)
14:13:20	664291/664291	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:11%20GMT	https://www.amazon.de/gp/angebote/ref=br_dig/253-8936271-2197550?pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=1eb5adb2-0a5c-4a2f-9f71-a06ea2ac0097&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/angebote/ref=br_dig/253-8936271-21975502412.html	(from https://www.amazon.de/)
14:13:20	664377/664377	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:12%20GMT	https://www.amazon.de/gp/angebote/ref=br_dig_smr/253-8936271-2197550?pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=1eb5adb2-0a5c-4a2f-9f71-a06ea2ac0097&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/angebote/ref=br_dig_smr/253-8936271-21975502412.html	(from https://www.amazon.de/)
14:13:20	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:20%20GMT	https://www.amazon.de/gp/prime/ref=nav_prime_ajax_err/253-8936271-2197550	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/ref=nav_prime_ajax_err/253-8936271-2197550	(from https://www.amazon.de/)
